trip_number,vehicle_type,stop_sequence,location,pickup_numbers,weight_kg,total_distance_km,total_weight_kg,cost_inr,cost_per_kg,algorithm_used
1,14ft,1,KERALA+695123,421214,3094.67,949.76,3094.67,21844.48,7.058742935434149,Z-Score
2,14ft,1,KERALA+695104,42A499,1210.65,825.4200000000001,2572.87,18984.660000000003,7.378787113223756,Z-Score
2,14ft,2,KERALA+695607,42A443,281.28,,,,,
2,14ft,3,KERALA+695541,42A437,288.63,,,,,
2,14ft,4,KERALA+695013,"42A529,42A532",203.17000000000002,,,,,
2,14ft,5,KERALA+695005,42A460,589.14,,,,,
3,14ft,1,KERALA+689101,421192,1512.14,695.07,3373.4400000000005,15986.61,4.738963787706317,Z-Score
3,14ft,2,KERALA+689107,421466,48.35,,,,,
3,14ft,3,KERALA+686101,420741,582.6,,,,,
3,14ft,4,KERALA+689581,421529,112.01,,,,,
3,14ft,5,KERALA+689641,42A382,732.33,,,,,
3,14ft,6,KERALA+689645,490153,50.86,,,,,
3,14ft,7,KERALA+691560,421591,335.15,,,,,
4,Tata 407,1,KERALA+691571,"421551,42A385",873.4300000000001,720.9300000000001,2267.94,14418.600000000002,6.357575597238023,Z-Score
4,Tata 407,2,KERALA+691501,42A407,243.01,,,,,
4,Tata 407,3,KERALA+691505,"42A462,42A459",798.5699999999999,,,,,
4,Tata 407,4,KERALA+690523,42A448,352.93,,,,,
5,Tata 407,1,KERALA+695573,"421590,421593",1036.38,1041.63,2256.93,20832.600000000002,9.23050338291396,Z-Score
5,Tata 407,2,KERALA+695026,TCTRVM02,518.93,,,,,
5,Tata 407,3,KERALA+685508,"490135,42A456",543.15,,,,,
5,Tata 407,4,KERALA+685561,42A040,158.47,,,,,
