trip_number,vehicle_type,stop_sequence,location,pickup_numbers,weight_kg,total_distance_km,total_weight_kg,cost_inr,cost_per_kg,algorithm_used
1,Tata 407,1,KERALA+679322,420960,1596.71,271.36,2321.49,5427.200000000001,2.337808907210456,Z-Score
1,Tata 407,2,KERALA+676504,42A384,724.78,,,,,
2,Tata 407,1,KERALA+679313,421533,771.23,225.37,1991.04,4507.4,2.263842012214722,Z-Score
2,Tata 407,2,KERALA+679105,42A032,1219.81,,,,,
3,Tata 407,1,KERALA+678006,42A445,1879.44,126.56,1879.44,2531.2,1.346784148469757,Z-Score
4,14ft,1,KERALA+679576,42A432,880.58,410.28,2944.4900000000002,9436.439999999999,3.2047790958705913,Z-Score
4,14ft,2,KERALA+676121,421031,605.58,,,,,
4,14ft,3,KERALA+676541,421541,887.07,,,,,
4,14ft,4,KERALA+676522,420968,244.92,,,,,
4,14ft,5,KERALA+678582,42A503,326.34,,,,,
5,Dost-2,1,KERALA+678014,"420599,42A201",795.53,137.5,1166.63,2200.0,1.8857735528830903,Z-Score
5,Dost-2,2,KERALA+678501,42A039,371.1,,,,,
