pickup_number,material_quantity,city_name,state_name,location_pincode,hub_id
420741,582.6,KOTTAYAM,KERALA,686101,30
421529,112.01,PATHANAMTHITTA,KERALA,689581,30
490153,50.86,PATHANAMTHITTA,KERALA,689645,30
42A382,732.33,PATHANAMTHITTA,KERALA,689641,30
421192,1512.14,PATHANAMTHITTA,KERALA,689101,30
421466,48.35,PATHANAMTHITTA,KERALA,689107,30
421591,335.15,KOLLAM,KERALA,691560,30
42A448,352.93,KOLLAM,KERALA,690523,30
42A462,539.93,KOLLAM,KERALA,691505,30
421551,409.54,KOLLAM,KERALA,691571,30
42A385,463.89,KOLLAM,KERALA,691571,30
42A407,243.01,KOLLAM,KERALA,691501,30
42A459,258.64,KOLLAM,KERALA,691505,30
421214,3094.67,THIRUVANANTHAPURAM,KERALA,695123,30
42A437,288.63,THIRUVANANTHAPURAM,KERALA,695541,30
42A443,281.28,THIRUVANANTHAPURAM,KERALA,695607,30
42A499,1210.65,THIRUVANANTHAPURAM,KERALA,695104,30
421590,333.39,THIRUVANANTHAPURAM,KERALA,695573,30
421593,702.99,THIRUVANANTHAPURAM,KERALA,695573,30
42A460,589.14,THIRUVANANTHAPURAM,KERALA,695005,30
42A529,176.31,THIRUVANANTHAPURAM,KERALA,695013,30
42A532,26.86,THIRUVANANTHAPURAM,KERALA,695013,30
TCTRVM02,518.93,THIRUVANANTHAPURAM,KERALA,695026,30
490135,339.13,IDUKKI,KERALA,685508,30
42A040,158.47,IDUKKI,KERALA,685561,30
42A456,204.02,IDUKKI,KERALA,685508,30
